,Emission magnitude [kgh],Cumulative emissions fraction [%],Cumulative fraction of sites
153,0.0017585437499999998,0.9999996352465041,0.008541320022190001
154,0.001817161875,0.9999996171183199,0.00859678313921
155,0.0018619875,0.999999598543293,0.008652246256240002
156,0.0019240537500000003,0.9999995793556271,0.008707709373270001
157,0.0019757756249999996,0.999999559659561,0.008763172490290001
158,0.0020274975000000002,0.999999539439357,0.008818635607320002
159,0.0020826675,0.9999995186784,0.008874098724349999
160,0.0021619743749999995,0.999999497138696,0.008929561841379998
161,0.0022412812500000002,0.999999474816547,0.008985024958400001
162,0.002286106875,0.9999994520452091,0.009040488075429998
163,0.002334380625,0.9999994288014781,0.009095951192459999
164,0.0023792062499999995,0.9999994051076788,0.009151414309479999
165,0.0024136875,0.9999993810638239,0.009206877426509998
166,0.00244816875,0.999999356672747,0.00926234054354
167,0.0024826500000000003,0.999999331933112,0.00931780366057
168,0.00250333875,0.9999993069942009,0.00937326677759
169,0.0025343718749999996,0.99999928173307,0.00942872989462
170,0.002548164375,0.999999256328247,0.00948419301165
171,0.002575749375,0.9999992306458999,0.00953965612867
172,0.002610230625,0.999999204611079,0.0095951192457
173,0.0026481599999999997,0.99999917820061,0.009650582362730002
174,0.0026757449999999998,0.999999151517938,0.009706045479760003
175,0.00269643375,0.999999124611833,0.00976150859678
176,0.0027205706249999995,0.999999097473607,0.009816971713810001
177,0.00275160375,0.999999070021447,0.009872434830839999
178,0.00276539625,0.9999990424392401,0.009927897947860002
179,0.002782636875,0.9999990146967722,0.009983361064890001
180,0.0027929812500000002,0.999998986840029,0.010038824181919998
181,0.0028067737500000003,0.999998958843236,0.010094287298949999
182,0.002817118125,0.999998930740573,0.010149750415969999
183,0.002830910625,0.999998902505923,0.010205213532999998
184,0.002841255,0.9999988741693511,0.01026067665003
185,0.00284815125,0.999998845760131,0.010316139767049998
186,0.0028515993750000005,0.9999988173133149,0.010371602884079999
187,0.0028791843750000006,0.9999987885961568,0.01042706600111
188,0.0028929768749999998,0.9999987597324569,0.01048252911814
189,0.0029102175000000003,0.999998730689555,0.01053799223516
190,0.0029205618749999994,0.999998701545317,0.01059345535219
191,0.002948146874999999,0.999998672128174,0.010648918469220002
192,0.0029550431249999996,0.999998642638493,0.010704381586250002
193,0.0029584912499999996,0.9999986131138972,0.01075984470327
194,0.0029722837499999996,0.999998583459894,0.010815307820300001
195,0.0029791799999999997,0.9999985537371471,0.010870770937329998
196,0.0029929725,0.9999985238796152,0.010926234054350002
197,0.0029998687499999998,0.9999984939591758,0.010981697171380003
198,0.0030067649999999994,0.9999984639678742,0.011037160288409998
199,0.00301366125,0.999998433903472,0.011092623405439999
200,0.0030171093749999994,0.999998403803815,0.011148086522459999
201,0.0030205575,0.9999983736736061,0.011203549639489998
202,0.00304124625,0.999998343328625,0.01125901275652
203,0.0030446943750000004,0.9999983129454,0.011314475873539998
204,0.0030446943750000004,0.9999982825621739,0.011369938990569999
205,0.0030446943750000004,0.999998252178947,0.0114254021076
206,0.0030515906250000004,0.999998221727363,0.01148086522463
207,0.0030619350000000004,0.9999981911693929,0.01153632834165
208,0.00306883125,0.9999981605470429,0.01159179145868
209,0.003072279375,0.9999981298936801,0.011647254575710001
210,0.0030757275000000005,0.99999809920625,0.01170271769273
211,0.003086071875,0.9999980684132629,0.01175818080976
212,0.003092968125,0.999998037542882,0.011813643926790001
213,0.00309641625,0.9999980066382941,0.011869107043819998
214,0.0031033125,0.999997975660853,0.011924570160840002
215,0.0031033125,0.9999979446834122,0.011980033277870002
216,0.00311020875,0.9999979136381871,0.012035496394899998
217,0.0031171050000000002,0.9999978825176722,0.012090959511920001
218,0.003120553125,0.999997851365066,0.012146422628949998
219,0.003120553125,0.9999978202124631,0.012201885745979999
220,0.0031240012500000003,0.999997789028501,0.01225734886301
221,0.0031308975000000003,0.9999977577760332,0.012312811980029998
222,0.0031308975000000003,0.999997726523562,0.012368275097059999
223,0.0031308975000000003,0.999997695271095,0.01242373821409
224,0.0031308975000000003,0.9999976640186261,0.012479201331109998
225,0.0031343456250000007,0.9999976327246151,0.012534664448140002
226,0.0031343456250000007,0.999997601430605,0.01259012756517
227,0.0031377937500000003,0.9999975700992231,0.0126455906822
228,0.00314469,0.9999975386960711,0.01270105379922
229,0.00314469,0.999997507292919,0.012756516916249998
230,0.0031515862500000004,0.9999974758176261,0.012811980033280001
231,0.0031515862500000004,0.9999974443423321,0.0128674431503
232,0.003155034375,0.99999741283159,0.01292290626733
233,0.003155034375,0.999997381320848,0.012978369384360002
234,0.003168826875,0.9999973496712851,0.013033832501389998
235,0.003168826875,0.9999973180217211,0.013089295618410001
236,0.003172275,0.9999972863414021,0.013144758735439997
237,0.0031757231250000005,0.9999972546234052,0.013200221852469999
238,0.0031757231250000005,0.999997222905408,0.013255684969500001
239,0.00317917125,0.999997191149229,0.013311148086519998
240,0.00317917125,0.9999971593930509,0.01336661120355
241,0.0031860674999999996,0.9999971275732941,0.01342207432058
242,0.0031929637499999997,0.99999709568824,0.0134775374376
243,0.0031929637499999997,0.9999970638031812,0.013533000554630002
244,0.0031929637499999997,0.9999970319181269,0.01358846367166
245,0.003196411875,0.9999969999957081,0.01364392678869
246,0.0031998599999999997,0.9999969680370269,0.01369938990571
247,0.0031998599999999997,0.9999969360783469,0.013754853022739998
248,0.0031998599999999997,0.9999969041196671,0.01381031613977
249,0.0031998599999999997,0.999996872160987,0.01386577925679
250,0.0031998599999999997,0.9999968402023061,0.01392124237382
251,0.0031998599999999997,0.9999968082436259,0.013976705490850002
252,0.0032033081249999997,0.999996776243098,0.01403216860788
253,0.0032033081249999997,0.9999967442425731,0.0140876317249
254,0.0032033081249999997,0.9999967122420429,0.014143094841929996
255,0.0032033081249999997,0.999996680241515,0.014198557958959999
256,0.0032033081249999997,0.999996648240988,0.014254021075980002
257,0.0032033081249999997,0.9999966162404599,0.01430948419301
258,0.0032033081249999997,0.9999965842399329,0.01436494731004
259,0.0032033081249999997,0.999996552239406,0.014420410427070002
260,0.0032067562499999993,0.9999965202043901,0.014475873544089999
261,0.0032067562499999993,0.9999964881693739,0.014531336661120001
262,0.0032067562499999993,0.9999964561343561,0.01458679977815
263,0.0032067562499999993,0.999996424099338,0.01464226289517
264,0.0032136524999999997,0.9999963919887771,0.014697726012199996
265,0.0032136524999999997,0.9999963598782109,0.014753189129229998
266,0.0032136524999999997,0.9999963277676478,0.01480865224626
267,0.0032136524999999997,0.9999962956570843,0.01486411536328
268,0.0032136524999999997,0.9999962635465189,0.01491957848031
269,0.0032136524999999997,0.999996231435957,0.014975041597340002
270,0.0032136524999999997,0.9999961993253921,0.015030504714359998
271,0.0032136524999999997,0.999996167214829,0.01508596783139
272,0.0032136524999999997,0.9999961351042652,0.015141430948419996
273,0.0032136524999999997,0.999996102993701,0.015196894065449999
274,0.0032171006249999993,0.999996070851912,0.015252357182470002
275,0.0032171006249999993,0.9999960387101229,0.0153078202995
276,0.0032171006249999993,0.999996006568332,0.01536328341653
277,0.0032171006249999993,0.9999959744265441,0.015418746533560002
278,0.003227445,0.999995942184929,0.015474209650579999
279,0.003227445,0.999995909943318,0.015529672767610001
280,0.0032308931250000007,0.999995877666392,0.01558513588464
281,0.0032308931250000007,0.9999958453894641,0.015640599001660004
282,0.0032308931250000007,0.9999958131125369,0.015696062118690002
283,0.0032308931250000007,0.9999957808356099,0.015751525235719998
284,0.0032343412500000003,0.9999957485289149,0.015806988352749997
285,0.003237789375,0.9999957161833791,0.01586245146977
286,0.003237789375,0.9999956838378429,0.0159179145868
287,0.003237789375,0.999995651492308,0.01597337770383
288,0.0032446856250000003,0.999995619076785,0.016028840820849998
289,0.0032446856250000003,0.999995586661265,0.016084303937879997
290,0.0032446856250000003,0.999995554245741,0.016139767054909996
291,0.0032550300000000003,0.9999955217264148,0.01619523017194
292,0.0032550300000000003,0.999995489207088,0.016250693288960002
293,0.003258478125,0.99999545665173,0.016306156405990004
294,0.003258478125,0.999995424096373,0.016361619523020003
295,0.003258478125,0.999995391541017,0.016417082640039996
296,0.0032619262500000004,0.9999953589492542,0.01647254575707
297,0.0032619262500000004,0.9999953263574899,0.0165280088741
298,0.0032688225,0.9999952936924561,0.01658347199113
